Title:,Dirección:,Ciudad:,Estado:,País:,Teléfono:,Correo:,Sitio Web:,Contacto:,Teléfono 2:
FRISMEX ,"Calle C #5513 int. 1., Col. Magaña",Tijuana,Baja California,México,664 331-8785,ventas@frismex.com,http://www.frismex.com,Ing. Jorge Franco,
JC INDUSTRIAL DE MÉXICO ,"Blvd. Insurgentes #34 A, Cerro Colorado",Tijuana,Baja California,México,(664) 625-0840,israel@jcindoxigeno.com,http://www.jcindoxigeno.com,Israel Varela,
MG INDUSTRIAL SUPPLY ,Santa Rosalia 19992 Buenos aires sur,Tijuana,Baja California,México,6648707531,modesto.burgueno@mgindustrialsupply.com,http://www.mgindustrialsupply.com,David Guerrero Pelayo,6648707530
ADIBAJA ,"Av. El Seminario #8536, El Seminario",Tijuana,Baja California,México,(664) 373-6660,prosillo@adibaja.mx,http://ww.adibaja.mx,Pablo Rosillo,
CHEVROLET TIJUANA ,"Vía Rápida Poniente #4902, Col. Río Tijuana 3a. Etapa",Tijuana,Baja California,México,664 211 6500,marketing1@gmtijuana.com,http://www.chevrolettijuana.com.mx,Lic. Blanca Motta,
LUBRICANTES AKRON ,"Andador del Rey #20051 plataforma 7 B, Col. Rancho El Águila",Tijuana,Baja California,México,664 326 9906,n.alvarez@akron.com.mx,http://www.akron.com.mx,L.A.E. Norberto Álvarez Lamas,
AIRPIPE  ,"Cabo Falso #20700, Col. Ampliación Guaycura",Tijuana,Baja California,México,6649779845,contacto@airpipe.com.mx,http://www.airpipe.com.mx,,
BUY METALS ,"Av. Del Norte #91, Col. Maclovio Herrera",Tecate,Baja California,México,664 337 0548,compras.buymetals@gmail.com,http://buymetalsinfo.wixsite.com/buymetals,Carlos Moctezuma,
CD METALES INTERNACIONAL ,"Blvd. Agua Azul #7007, Col. Loma Bonita",Tijuana,Baja California,México,664 361 3905,jesus.bastidas@cdmetales.com,http://www.cdmetales.com,Jesús Antonio Bastidas Rocha,
"AISLANTES, REJILLAS Y CONTROLES ",Calzada Cetys #1546,Mexicali,Baja California,México,686 567 2413,gerencia.ventas@arcorefacciones.com,http://www.arcorefacciones.com/index.html,Omar Javier Montaño Carranza,6862428934
AQS INDUSTRIAL ,Av. Coahuila #898. Col. Esperanza,Mexicali,Baja California,México,686 556 7423,analista.ventas@aqsindustrial.com.mx,http://www.aqsindustrial.com.mx,Manuela Félix,686 556 7422
ARO CONSTRUCCIONES INDUSTRIALES  ,"Santa Agueda #20173, Col. Buenos Aires Sur",Tijuana,Baja California,México,664 976 5468,andres.valdivia@aroconstructora.com,http://www.aroconstructora.com,Andrés Romario Valdivia,
ARMA PROMO ,Calle Décima,Tijuana,Baja California,México,664 200 2511,ventas@armapromo.mx,,María Rosa Manjarrez,
CONCEPTOS GRÁFICOS ,"Av. De los Sauces #3314-A, Fracc. Cubillas",Tijuana,Baja California,México,(664) 215-1792,diseno3@dimbc.com,http://www.marketingindustrial.mx,Elizabeth Hernández,
MALKA IMPRESIONES Y PERSONALIZADOS ,Blvd. Guadalupe Morales,Rosarito,Baja California,México,6611139271,malka.personalizados@gmail.com,,Janet Núñez,
ADALID AGENTE DE SEGUROS  ,"Cerritos #2399, Fracc Villa Colonial",Mexicali,Baja California,México,686 5551066,contacto@adalid.mx,http://www.adalid.mx/,Alicia Huizar Ávila,
BAÑUELOS Y SALAZAR ASESORES  ,N/D,Tijuana,Baja California,México,664 681 2221,banuelos@banuelosysalazar.com,http://www.banuelosysalazar.com,Lic. Austreberto Bañuelos,
CONSULTORÍA ADMINISTRATIVA INTEGRAL - CONADIN ,Paseo de Laureles #498 Fracc. Los Pinos,Mexicali,Baja California,México,686 565 6400,conadin@conadin.com,https://www.conadin.com,Alberto Flores R.,686 565 6866
ADVAMEX PROYECTOS INDUSTRIALES ,"Blvd. De las Bellas Artes #583, Nueva Tijuana",Tijuana,Baja California,México,664 799 6110,javier.rivera@advamex.com,https://www.advamex.com,Javier Rivera,
AUTO-ZEN AUTOMATION ,"Rafaela Lopez Aguado #11597, Col. Mariano Matamoros Norte",Tijuana,Baja California,México,663 379 5248,brisia.araujo@autozenautomation.com,http://www.autozenautomation.com,Brisia Araujo,6649747739
ELECTROK ,"Blvd. Díaz Ordaz #4035, Luna Park",Tijuana,Baja California,México,664 234 4660,ventas@electrok.mx,http://www.electrok.mx/,Carlos Castillo Martínez,
ARREGA INDUSTRIAL  DESTACADO,"Blvd. Tercera Oeste #17524, Fracc. Garita de Otay",Tijuana,Baja California,México,664 608 9263,contacto@arregaindustrial.com,http://www.arregaindustrial.com,N/D,
EXIS SOLUCIONES DE PRUEBA ,"Sierra de los Conejos #6563-C,Col. La Cuesta 1",Cd.Juárez,Chihuahua,México,(656) 623 63 80,jesus.oropeza@existest.com,http://www.existest.com,Jesús Oropeza,
HEXAGON ,"Av. Isidoro Sepúlveda #600-2, Regio Parque Industrial",Apodaca,Nuevo León,México,811 660 3345,sarai.arana@hexagon.com,http://www.hexagon.com,Sarai Arana,
C&C INTERNATIONAL BUSINESS ,"Paseo de los parques, El Valle",Tijuana,Baja California,México,(664) 6070918,info@ccib.com.mx,http://www.ccib.com.mx,Marlen Caldera,
CE & HP ,Tijuana,Tijuana y Mexicali,Baja California,México,664 629 4868,ceyhp3@hotmail.com,http://www.ceyhp.com,Lizbeth Sevilla,
CRISOSA ,"Segundo Eje Oriente Poniente #19223, Ciudad Industrial",Tijuana,Baja California,México,664 607 2000,recepcion@crisosa.com,http://www.crisosa.com,Jesús Rodríguez,
ALFA - K9 ,"Av. José López Portillo #19526 int. 6, Col. Nueva Tijuana",Tijuana,Baja California,México,668 189 3144,info@alfak9.com,https://www.alfak9.com,Lic. Jesús Ramón Vega Peñuelas,
ALFA CAPACITACIÓN EN PRIMEROS AUXILIOS Y RCP ,N/D,Tijuana,Baja California,México,6641368468,alfatijuana@gmail.com,,Alfa Capacitación en Primeros Auxilios,
AVANCER CENTRO EDUCATIVO SUPERIOR  ,Plaza Victoria local 22 Blvd. Díaz Ordaz #14901 Fracc. Reynoso,Tijuana,Baja California,México,664 123 1590,marianavancer@gmail.com,https://www.avancer.com.mx,Mariana de la Rosa,
